SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
MTYSPCLPSP_72	Playmobil City Life Preschool Sunshine Preschool	Fun times await at the Sunshine Preschool! Bright and colourful rooms greet families as they enter through the front double doors. Parents can hang their coats on the coat rack in the lobby while they drop their kids off in their classroom. Kids will love playing house in the miniature childrens kitchen or building impressive skyscrapers with all the different building blocks. The older children can reach new heights as they venture up the climbing wall, while others show off their latest tunes in the music area with xylophone, tambourine, flute, and maracas. Teachers can get snack time ready in the kitchen area with microwave while the children rest during naptime on their individual mattresses. Pretty soon, the clock with movable hands says its time to go as parents pick up their kids at the end of the day. This set is compatible with the Playgroup (#5570) (not included). Features real chalk board, and clock with movable hands. Includes one adult figure, four child figures, backpacks, baby doll with cradle, pencils, pens, paintbrush, coffeepot, mugs, toothbrushes, chalkboard with special pen, two sinks, two toilets, telephone, and lots of other accessories. School measures approximately 17.3 long x 13.4 tall x 13.4 wide. Adult figures measure approximately 2.95 tall. Child figures measure approximately 2 tall.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	99.99	CDN	5	http://www.mastermindtoys.com/images/t/29-33939-BigImage.image.ashx			
MTYSPCAPA_69	Playmobil Cargo and Passenger Aircraft	Take to the skies with the Playmobil Cargo and Passenger Aircraft. Cargo can be loaded by folding up the front of the aircraft, and the roof of the plane is removable, making it easy to play with the figures and rearrange seating for up to five passengers! Two figures can also be seated in the cockpit through the hinged roof to wait for the all-clear from the air traffic control tower before taxiing down the runway for takeoff! Includes five figures, plane equipped with a sink and toilet, cargo container, air traffic control tower with equipment, and other accessories. Figures measure approximately 2.95 tall. Plane measures approximately 23.2 long x 24.8 wide x 9.4 tall.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	95.99	CDN	5	http://www.mastermindtoys.com/images/t/29-27542-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=2ea42222-6c18-444c-a769-3367ac9f0a27&blobProvider=MMTDiskStorageProvider		
MTYSPPSWAS_516	Playmobil Police Station with Alarm System	This is where criminals are taken for questioning, held behind bars and where the police can store and access all of their equipment to help protect the Playmobil neighbourhoods. This ultimate police station set is complete with heliport, Special Force quarters with photo studio, a secure holding area with a locking gate, reception area and a wall for the storage of essential police equipment. If any criminal attempts to escape through the secret passage in the floor of the cell the motion sensor alarm system will alert police with light and sound! This high tech headquarters includes surveillance equipment, a mug shot wall and camera, 3 policemen and a bad guy, bicycle, repelling line, police equipment and more. Help solve and prevent crimes with the Playmobil Police!  Police station measures approximately 21.7" long. Figures measure approximately 3" tall. Requires 2 AAA batteries. (NOT INCLUDED).	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	95.99	CDN	0	http://www.mastermindtoys.com/images/t/29-27130-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=8d8156d8-9448-4cd0-9473-277262611db3&blobProvider=MMTDiskStorageProvider		
MTYSPSDF_248	Playmobil Secret Dragon Fort	Defend the kingdom with the Secret Dragon Fort! With two blue dragons, this fort is well protected against any enemies. The fortified gate makes it almost impossible to break in while the turreted crossbow with flaming arrows tilts and rotates for the perfect aim! The precious dragon fire illuminates blue!  Includes two figures, helmets, shields and assorted battle gear, torches, flags and other accessories. Figures measure approximately 2.95 tall. Requires 1 AAA battery (sold separately).	<ul><li>                Ages 5 and up            </li></ul>	MMindtoys	MMindtoys	87.99	CDN	5	http://www.mastermindtoys.com/images/t/29-29671-BigImage.image.ashx			
MTYSPUJC_46	Playmobil Unicorn Jewel Castle	Take a fantastical journey to the dazzling Unicorn Jewel Castle! With regal turrets and sparkling jewels, this castle is a symbol of the land as the queen looks out over her kingdom from the royal balcony. Visitors can walk up the front steps and through the ornate doors. Upon entering, guests are welcomed into the ballroom furnished with dining table and chairs and lit with candelabras! The elegant spiral staircase leads to a royal bedroom featuring a bed adorned with sparkling crystals and fit for a queen. Each side of the castle features a beautiful terrace where the queen and guests can enjoy some fresh air! Includes Unicorn Jewel Castle, two figures, gilded mirror, dog, goblets, floral arrangements, perfume, purse, brush and other accessories. Figures measure approximately 2.95 tall.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	83.99	CDN	5	http://www.mastermindtoys.com/images/t/29-29738-BigImage.image.ashx			
MTYSPPSWRUM_70	Playmobil Pirate Ship with RC Underwater Motor	Command the high seas on a quest for treasure with the Pirate Ship with RC Underwater Motor! Equipped with a remote-controlled underwater motor, kids can propel the ship and also control its path as it makes its way through uncharted waters! Ward off enemies with the functioning cannons and store all the pirate booty in the central storage compartment. Includes Pirate Ship, three pirate figures, treasure with chest, black sails, swords, barrel, shovel, anchor and other accessories. Figures measure approximately 2.95 tall. Requires one 9V battery and 6 AA batteries (sold separately).	<ul><li>                Ages 7 and up            </li></ul>	MMindtoys	MMindtoys	79.99	CDN	5	http://www.mastermindtoys.com/images/t/29-29718-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=ddb83054-7edd-4f36-b532-8f2c608ea69a&blobProvider=MMTDiskStorageProvider		
MTYSPCACGSWL_87	Playmobil City Action Coast Guard Station with Lighthouse	Patrol the waterfront from the Coast Guard Station with Lighthouse. The stations functioning lighthouse acts as a beacon for local sailors and a warning to those up to no good. From the upper observation room, officials can monitor coastal activity, while the first level ramp makes it easy to place the floatable boat in the water. Now its ready to respond to nearby emergencies. When its not in use, connect the boat to the cable winch and pull it up the boat ramp and onto the metal docking platform at the back of the station. Set includes five figures, floating boat, two rescue rings, oxygen tank, flippers and mask, surfboard, walkie talkies, emergency medical equipment, fire extinguisher, and accessories. Measures approximately 15.4 long x 11.4 tall x 21.3 wide.  Figures measure approximately 2.95 tall.  Requires 2 AAA batteries (NOT INCLUDED).	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	79.99	CDN	5	http://www.mastermindtoys.com/images/t/29-33841-BigImage.image.ashx			
MTYSHPNGG_384	Hape Park 'n' Go Garage	There are plenty of parking spots for vehicles and helicopters in this cool, wooden 4-level garage and helipad! Includes 2 vehicles and 1 helicopter. It's the ultimate playset for all your favourite toy vehicles! Adult assembly required. Hape International is a toy company dedicated to both quality and innovation in toy manufacturing. They are also dedicated to the protection of the environment through the careful handling of resources and attempts to reduce waste. This Hape product is made of Maple, plywood and MDF, painted with water-based paints, and packaged in recycled materials. Hape is also an ethical company, and has been donating funds for the building of schools in developing regions across China for many years. Measures approximately 19" long x 12" wide x 14.75" high (assembled).	<ul><li>                Ages 3 and up            </li></ul>	MMindtoys	MMindtoys	79.99	CDN	5	http://www.mastermindtoys.com/images/t/29-20755-BigImage.image.ashx			
MTYSPPAS_528	Playmobil Pirate Attack Ship	Hit the high seas with this buoyant Playmobil Pirate Ship! Load your treasure on the ship with the functioning loading crane and store it in the hidden compartment. Also, defend against enemy ships with the cannon that shoots! The included "Joker Coin" can be used on the Playmobil Pirate Adventure Island (sold seperately) in the "fire code" puzzle. The boat can be upgraded to include an underwater motor (sold seperately)! Includes: ship, 4 crew members, 2 cannons that shoot, 1 loading platform, Joker Coin and many accessories. Figures measure approximately 2.95'' high and the ship measures approximately 27'' by 9" wide by 22'' long.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	79.99	CDN	0	http://www.mastermindtoys.com/images/t/29-24380-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=3642fb05-a57d-4f9f-9457-eb886abd4d43&blobProvider=MMTDiskStorageProvider		
MTYSPSFAPFW_80	Playmobil Summer Fun Amusement Park Ferris Wheel	Climb to new heights with an exciting ride on the Ferris Wheel with Lights. Equipped with colourful flashing lights and seven red and blue gondolas, this ride can accommodate up to 14 people. First, check to make sure you meet the rides height requirement before purchasing a ticket and hopping into the next available gondola. Once everyone is safely seated in their gondola, turn the crank on the side of the Ferris wheel to start the ride. To operate the ride automatically, upgrade this set with the Electric Ride Motor (#5556) (not included). Includes two adult figures, two child figures, functioning Ferris wheel, ticket office with tickets, cash register, computer, and other accessories. Measures approximately 22 long x 13.8 tall x 20.1 wide. Figures measure approximately 2.95" tall.  Requires 3 AAA batteries (NOT INCLUDED).	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	75.99	CDN	5	http://www.mastermindtoys.com/images/t/29-34081-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=54a56a08-eb58-49a8-8fba-3c3bbac9b5c7&blobProvider=MMTDiskStorageProvider		
MTYSVGGSWUAPP_222	VTech Go Go Smart Wheels Ultimate Amazement Park Playset	Race through 3 AMAZING courses in the Go! Go! Smart Wheels Ultimate Amazement Park Playset! Place the race car at the top of the tall tower, pull the flag and build motor skills as you navigate it through obstacles and race it through the 360 degree loop, spiral or ramp. Drive the included SmartPoint race car over the 8 SmartPoint locations, and listen as it responds with different music or fun sound effects. Place the race car in the electronic pit stop and pretend to fill the gas tank and make quick repairs while hearing fun phrases, music and learning colours. The Ultimate Amazement Park is more than 3 feet long. Its playtime with miles of learning fun!  Features: 8 SmartPoint locations Over 70 sing along songs, melodies, sounds and phrases 3 fun courses include a ramp course, loop course and a spiral course Electronic pit stop plays fun phrases, music and teaches colours More than 3 feet long Includes 1 SmartPoint race car that teaches the letter R and the name of the vehicle through pretend play Flag launcher, rocking platform, pit stop buttons and flip ramp build motor skills Play and music modes teach colours, vocabulary and music  Includes: Ultimate Amazement Park Playset and race car. Measures approximately 14.96 tall x 3.07 long x 10.98 wide. Requires 4 AAA battery ("Try Me" batteries included).	<ul><li>                Ages 1 and up            </li></ul>	MMindtoys	MMindtoys	69.99	CDN	5	http://www.mastermindtoys.com/images/t/29-31602-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=9c0edc7a-7bfb-4282-b14e-d178bce033b1&blobProvider=MMTDiskStorageProvider		
MTYSMDFAGMB_459	Melissa & Doug Fold and Go Mini Barn	Open up this folding barn to uncover all kinds of fun! This barn has two stories with stables on both levels, and is painted bright red, with a grey striped roof and windows and doors accented with white. Inside the barn are ten stables - five on each side - that the seven durable animal figures included in this set can play in! This barn also includes sliding barn doors and a folding corral, and extended play suggestions to further educational development. It opens wide for easy play access, and features two sturdy wooden carrying handles that make both cleanup and travel easy! Get ready to play on the go with this bright red barn! Measures approximately 13.5" long x 7.25" wide x 10.5" high.	<ul><li>                Ages 3 and up            </li></ul>	MMindtoys	MMindtoys	69.99	CDN	0	http://www.mastermindtoys.com/images/t/29-9831-BigImage.image.ashx			
MTYSPCLMLMGS_86	Playmobil City Life Modern Luxury Mansion Guest Suite	Enjoy a life of comfort in the sleek and modern Guest Suite. This suite has all the amenities for a chic home away from home, including a mini kitchen with microwave for afternoon snacks. Freshen up in the state-of-the-art bathroom with functioning shower before relaxing in the living room with a good book. Dresses and skirts are interchangeable with other outfits in the Modern Luxury Mansion and Shopping Mall themes (not included). This set is compatible with the Modern Luxury Mansion (#5574) (not included). Includes two figures, sofa, shower, sink and toilet, dress, perfumes, books, clock, hairbrushes, flowers, carpet, cups and utensils, and tons of additional accessories.  Measures approximately 19.7 long x 5.9 tall x 12.6 wide.  Figures measure approximately 2.95 tall.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	67.99	CDN	5	http://www.mastermindtoys.com/images/t/29-33851-BigImage.image.ashx			
MTYSPACC_230	Playmobil Alpine Cable Car	Climb aboard the Alpine Cable Car to travel all the way to the top of the mountain! Families can purchase their tickets at the valley station before climbing into the cable car, which has plenty of space for up to three adults and three children. In the cars outside compartment, travelers can store gear such as hiking poles, shovels and more! When everyone is ready to go, simply rotate the handle at the Valley Station to move the line and begin the cable cars ascent to the top! Adult figures measure approximately 2.95" tall.	<ul><li>                Ages 6 and up            </li></ul>	MMindtoys	MMindtoys	67.99	CDN	5	http://www.mastermindtoys.com/images/t/29-29725-BigImage.image.ashx			
MTYSPAL_527	Playmobil Alpine Lodge	Take a trip into the mountains and stay at the Alpine Lodge! The cozy lodge has a den furnished with a fireplace, countertop, and eating area, as well as a patio for those wishing to enjoy a meal outdoors! In the loft, there is a warm place to sleep and a bathroom with toilet and sink. The balcony features gorgeous flowers and a great view of the mountains. Kids will love the lodges barn, filled with animals including goats and cows! Includes Alpine Lodge, four adult figures, one child figure, backpacks, walking sticks, playing cards, mattresses, tables with benches and chair, fencing, flowers and other accessories. Figures measure approximately 2.95 tall.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	67.99	CDN	0	http://www.mastermindtoys.com/images/t/29-29719-BigImage.image.ashx			
MTYSPCALUWLAS_4	Playmobil City Action Ladder Unit with Lights and Sound	Battle against multistory blazes with the Ladder Unit with Lights and Sounds. Use the extendable ladder to save someone from a high window, or aim water at flames on the buildings upper levels.  Includes fire truck with extendable ladder, one figure, fire extinguisher, and other accessories. Measures approximately 15.4 long x 6.7 tall x 5.1 wide. Figure measures approximately 2.95 tall.  Requires 2 AAA batteries (NOT INCLUDED).	<ul><li>                Ages 5 and up            </li></ul>	MMindtoys	MMindtoys	63.99	CDN	5	http://www.mastermindtoys.com/images/t/29-33853-BigImage.image.ashx			
MTYSLHS_511	Luxury Hotel Suite	Use the room keys to enter the Playmobil Luxury Hotel Suite and relax in style. Rest comfortably in the grand bedroom furnished with master bed, armchair with footrest, television, and side table. Take a soothing bath in the deluxe bathroom, equipped with large bathtub, sink with vanity, toilet, and towel rack. The suites balcony with its lounge chair offers a relaxing place to read or enjoy the view. This set is compatible with the Playmobil Large Furnished Hotel (sold separately). Includes three figures, dining tray, golf clubs, plants, phone, clock, hairdryer, wall photographs, and other accessories. Figures measure approximately 2.95" tall. Suite measures approximately 24" long.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	63.99	CDN	0	http://www.mastermindtoys.com/images/t/29-27549-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=c2c95e1b-b57f-48e5-9db5-f5f940af46f2&blobProvider=MMTDiskStorageProvider		
MTYSPVC_515	Playmobil Vet Clinic	Care for animals of all sorts at the Vet Clinic. Pet owners can check in for an appointment at the front desk and then relax in the waiting area. Whether a routine check-up or a special appointment, the doctor can place the patient on the exam table to check his or her heartbeat, apply bandages, or remove a cast. Compatible with the Pet Examination Room 5530 (sold separately).  Includes calf, rabbits, cats, dogs, birds, three figures, stethoscope, medical instruments, removable bandages and casts, computer, desk with chair, animal water bottle, tree, pitchfork and hay, bunny hutch, fencing, outdoor shelter, baskets, books, and other accessories.  Measures approximately 24 long x 9.4 tall x 15.4 wide. Figures measure approximately 2.95 tall.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	63.99	CDN	0	http://www.mastermindtoys.com/images/t/29-33495-BigImage.image.ashx			
MTYSPPF_530	Playmobil Pony Farm	A classic toy for all children, this Pony Farm from Playmobil will be an instant favourite! Kids will love re-enacting a day on the farm with all of the accessories included with this playset. Featuring a barn with a bright red roof and a gated surrounding area, kids are sure to have hours of fun with the 3 ponies and 3 farm workers!  Playset also includes 3 stables, hayloft, dogs with a doghouse, grooming tools, riding equipment, a welcome sign, landscape, food and much more! Measures approximately 14.5" long x 8.9" wide x 15.7" high.	<ul><li>                Ages 5 and up            </li></ul>	MMindtoys	MMindtoys	63.99	CDN	0	http://www.mastermindtoys.com/images/t/29-26782-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=28972d3f-86b2-4118-b61b-a3832e700bb3&blobProvider=MMTDiskStorageProvider		
MTYSPRMSP_449	Playmobil RC Module Set Plus	This 27 MHz Module Set Plus is designed to upgrade all RC-compatible Playmobil vehicles! This new version has all the same sized pieces as the older 4320 model, with a longer operating range. For indoor use only. Add a whole new dimension of fun to any of your RC-compatible Playmobil vehicles (sold separately)!  Requires one 9 volt battery and 1 AA battery (NOT INCLUDED).	<ul><li>                Ages 6 and up            </li></ul>	MMindtoys	MMindtoys	59.99	CDN	5	http://www.mastermindtoys.com/images/t/29-22284-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=1a94ec1b-51df-4c01-81b1-23f6a00d5a27&blobProvider=MMTDiskStorageProvider		
MTYSPCB_210	Playmobil Clothing Boutique	Looking for a great new outfit? Find all the new styles at the Clothing Boutique! Choose a dress from one of the mannequins and head into the dressing room to try it on. Then take a peek in the full-length mirror to see how it looks before showing it off to all your friends! Includes two figures, dresses, skirts, purses, mannequins, perfume bottles, checkout counter and other accessories. Figures measure approximately 2.95 tall.	<ul><li>                Ages 5 and up            </li></ul>	MMindtoys	MMindtoys	58.39	CDN	5	http://www.mastermindtoys.com/images/t/29-29743-BigImage.image.ashx			
MTYSPSTCV_295	Playmobil Spy Team Command Vehicle	Embark on a top secret mission with the Spy Team Command Vehicle. Use the retractable rocket launcher on the vehicles roof! Agents can also survey the area using the glider jet, which can be detached from the launch pad on the trucks roof. A secret compartment at the back of the vehicle stores spiky balls that can be released to slow down any unwanted followers! A functioning safe and a compartment on the side of the vehicle are the perfect places for storing top secret materials and spy gear. Two figures can be seated in the drivers compartment via the hinged door. This set illuminates under the UV light from the Playmobil Headlight with Spy Team Agent (SOLD SEPARATELY), allowing for secret operations in the dark. Children can upgrade this set with the Playmobil RC Module Set Plus (SOLD SEPARATELY). Includes vehicle, 3 Spy Team figures, one Mega Masters figure and other accessories. Playmobil figures measure approximately 2.95 tall.	<ul><li>                Ages 7 and up            </li></ul>	MMindtoys	MMindtoys	55.99	CDN	5	http://www.mastermindtoys.com/images/t/29-27553-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=2a8086bb-4532-4025-8bdf-423ebf6732d4&blobProvider=MMTDiskStorageProvider		
MTYSPFM_504	Playmobil Family Motorhome	Get ready to hit the road with the Playmobil Family Motorhome! Featuring 4 figures (2 parents and 2 kids), a picnic table with 4 chairs, 2 bicycles and many more accessories, this fully loaded RV comes equipped for camping fun! The motorhomes kitchen, dining and bathroom areas can be easily accessed through the vehicles removable roof and side wall  creating endless hours of imaginative play. So plot a course down the winding hallway, through the kitchen to that perfect camp site in the living room and get ready for a vacation adventure! Includes: 1 camper, 4 figures (2 parents and 2 kids), 2 bicycles, a soccerball, a picnic table with 4 chairs, complete table settings for 4, food, pots, camping accessories and more! Adult figures measure approximately 2.95" high.	<ul><li>                Ages 4 and up            </li></ul>	MMindtoys	MMindtoys	55.99	CDN	0	http://www.mastermindtoys.com/images/t/29-21604-BigImage.image.ashx	http://www.mastermindtoys.com//image.aspx?blobid=fcde91d8-1aaf-401a-bdfb-de9e52e6019f&blobProvider=MMTDiskStorageProvider		
